"PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported","Group","Number","total_spending","Deck","Cabin_num","Side"
"0001_01","Europa",0,"B/0/P","TRAPPIST-1e",39,0,0,0,0,0,0,"Maham Ofracculy",0,1,"   1",0,"B",0,1
"0002_01","Earth",0,"F/0/S","TRAPPIST-1e",24,0,109,9,25,549,44,"Juanna Vines",1,1,"   2",736,"F",0,0
"0003_01","Europa",0,"A/0/S","TRAPPIST-1e",58,1,43,3576,0,6715,49,"Altark Susent",0,1,"   3",10383,"A",0,0
"0003_02","Europa",0,"A/0/S","TRAPPIST-1e",33,0,0,1283,371,3329,193,"Solam Susent",0,2,"   3",5176,"A",0,0
"0004_01","Earth",0,"F/1/S","TRAPPIST-1e",16,0,303,70,151,565,2,"Willy Santantines",1,1,"   4",1091,"F",1,0
"0005_01","Earth",0,"F/0/P","PSO J318.5-22",44,0,0,483,0,291,0,"Sandie Hinetthews",1,1,"   5",774,"F",0,1
"0006_01","Earth",0,"F/2/S","TRAPPIST-1e",26,0,42,1539,3,0,0,"Billex Jacostaffey",1,1,"   6",1584,"F",2,0
"0006_02","Earth",1,"G/0/S","TRAPPIST-1e",28,0,0,0,0,0,0,"Candra Jacostaffey",1,2,"   6",0,"G",0,0
"0007_01","Earth",0,"F/3/S","TRAPPIST-1e",35,0,0,785,17,216,0,"Andona Beston",1,1,"   7",1018,"F",3,0
"0008_01","Europa",1,"B/1/P","55 Cancri e",14,0,0,0,0,0,0,"Erraiam Flatic",1,1,"   8",0,"B",1,1
"0008_02","Europa",1,"B/1/P","TRAPPIST-1e",34,0,0,0,0,0,0,"Altardr Flatic",1,2,"   8",0,"B",1,1
"0008_03","Europa",0,"B/1/P","55 Cancri e",45,0,39,7295,589,110,124,"Wezena Flatic",1,3,"   8",8157,"B",1,1
"0009_01","Mars",0,"F/1/P","TRAPPIST-1e",32,0,73,0,1123,0,113,"Berers Barne",1,1,"   9",1309,"F",1,1
"0010_01","Earth",0,"G/1/S","TRAPPIST-1e",48,0,719,1,65,0,24,"Reney Baketton",0,1,"  10",809,"G",1,0
"0011_01","Earth",0,"F/2/P","TRAPPIST-1e",28,0,8,974,12,2,7,"Elle Bertsontry",1,1,"  11",1003,"F",2,1
"0012_01","Earth",0,"F/82/P","TRAPPIST-1e",31,0,32,0,876,0,0,"Justie Pooles",0,1,"  12",908,"F",82,1
